4
000001CE35F47250
-1
000001CE35F47430
-1
000001CE35F474D0
-1
000001CE35F46C10
-1
107	13	5
1	9
7	15
7	14
3	9
13	7
7	13
19	-6
14	4
12	6
7	12
12	7
2	9
6	11
4	9
5	10
14	1
12	10
10	12
14	8
9	15
8	15
9	14
13	9
9	13
11	10
10	11
1	0
0	1
6	7
10	10
2	2
3	3
10	8
10	9
1	2
13	3
14	0
14	2
13	-1
17	-5
7	-11
15	-3
19	-7
18	-8
14	-2
5	-11
19	-5
17	-3
16	-3
18	-4
12	-3
4	-11
10	-1
4	-1
13	-10
14	-11
1	-7
-2	-7
-1	-8
1	-10
0	-9
2	-11
3	-11
6	-11
8	-11
9	-11
10	-11
12	-11
11	-11
13	-11
15	-11
16	-10
17	-9
-3	-6
-2	-5
-1	-4
0	-3
1	-2
1	-1
3	2
3	4
2	5
0	7
1	6
12	4
11	3
0	8
15	-5
3	-7
3	-8
3	-9
3	-10
4	-7
5	-7
6	-7
7	-7
9	-7
10	-7
11	-7
12	-7
13	-7
13	-8
13	-9
6	9
2	6
2	-5
2	-858993460	-858993460	-858993460
0	-858993460	-858993460
0	
